Name,Slug,Build Name,Best Weapon,Second Weapon,Third Weapon,F2P Weapon,Best Artifact,2nd Artifact,3rd Artifact,4star Artifact,Sands Stat,Goblet Stat,Circlet Stat,Sub Stats,Build Name,Best Weapon,Second Weapon,Third Weapon,F2P Weapon,Best Artifact,2nd Artifact,3rd Artifact,4star Artifact,Sands Stat,Goblet Stat,Circlet Stat,Sub Stats
Bennett,bennett,Pyro Burst DPS Support,Mistsplitter Reforged,Aquila Favonia,The Alley Flash,Sapwood Blade,Noblesse Oblige,Emblem of Severed Fate,Emblem of Severed Fate + Noblesse Oblige,The Exile,Energy Recharge/ATK%,Type DMG Bonus,Crit Rate/DMG,"Energy Recharge, Crit Rate, Crit DMG, ATK%, HP%",Pyro Healer Support,Skyward Blade,Favonius Sword,Sapwood Blade,Fleuve Cendre Ferryman,Noblesse Oblige,Emblem of Severed Fate,Emblem of Severed Fate + Noblesse Oblige,The Exile,HP%/Energy Recharge,HP%,Healing Bonus/HP%,"Energy Recharge, HP%"
Chasca,chasca,Obsidian Codex DPS,Astral Vultures Crimson Plumage,Aqua Simulacra,The First Great Magic,Chain Breaker,Obsidian Codex,none,none,none,ATK%,ATK%,Crit DMG/Rate,"Crit DMG, Crit Rate, ATK%, Elemental Mastery",Anemo Swirl DPS,Astral Vultures Crimson Plumage,Hunters Path,Elegy for the End,Chain Breaker,Viridescent Venerer,Shimenawas Reminiscence,none,Martial Artist,ATK%/Elemental Mastery,ATK%/Elemental Mastery,Crit DMG/Rate/Elemental Mastery,"Crit DMG, Crit Rate, ATK%, Elemental Mastery"
Escoffier,escoffier,Freeze Sub-DPS,Symphonist of Scents,Staff of Homa,Deathmatch,Tamayuratei no Ohanashi,Golden Troupe,Blizzard Strayer,none,The Exile,ATK%/Energy Recharge,Type DMG Bonus/ATK%,Crit Rate/DMG,"Crit Rate, Crit DMG, ATK%, Energy Recharge",Freeze Support,Symphonist of Scents,Calamity Queller,Prospectors Drill,Tamayuratei no Ohanashi,Golden Troupe,Noblesse Oblige,none,The Exile,Energy Recharge/ATK%,ATK%,ATK%/Crit Rate/DMG,"Energy Recharge, Crit Rate, Crit DMG, ATK%"
Lan Yan,lanyan,Shielder Support,Memory of Dust,Skyward Atlas,Thrilling Tales of Dragon Slayers,Thrilling Tales of Dragon Slayers,Viridescent Venerer,Gladiators Finale + Shimenawas Reminiscence,Noblesse Oblige,Instructor,ATK%/Energy Recharge,ATK%,ATK%,"ATK%, Energy Recharge, Elemental Mastery",Swirl Support,Starcallers Watch,Sunny Morning Sleep-In,Wandering Evenstar,Flowing Purity,Viridescent Venerer,Gladiators Finale + Shimenawas Reminiscence,Noblesse Oblige,Instructor,Elemental Mastery,Elemental Mastery,Elemental Mastery,"Elemental Mastery, Energy Recharge, ATK%"
Mavuika,mavuika,Pyro Main DPS,A Thousand Blazing Suns,Beacon of the Reed Sea,Wolfs Gravestone,Mailed Flower,Obsidian Codex,Marechaussee Hunter,Crimson Witch of Flames,Instructor,ATK%/Elemental Mastery,Type DMG Bonus,Crit Rate/DMG,"Crit DMG, Crit Rate, ATK%, Elemental Mastery",Pyro Sub-DPS,A Thousand Blazing Suns,Beacon of the Reed Sea,Fang of the Mountain King,Mailed Flower,Scroll of the Hero of Cinder City,Obsidian Codex,Gladiators Finale + Crimson Witch of Flames,Gambler,ATK%/Elemental Mastery,Type DMG Bonus,Crit Rate/DMG,"Crit DMG, Crit Rate, ATK%, Elemental Mastery"
Noelle,noelle,Main DPS,Redhorn Stonethresher,Serpent Spine,Whiteblind,Whiteblind,Husk of Opulent Dreams,Marechaussee Hunter,Retracing Bolide,Defenders Will,DEF%,Type DMG Bonus,Crit Rate/DMG,"DEF%. Crit DMG, Crit Rate, ATK%",Support,Skyward Blade,Favonius Greatsword,Whiteblind,Whiteblind,Ocean Hued Clam,Maiden Beloved,Husk of Opulent Dreams + Maiden Beloved,The Exile,Energy Recharge,DEF%,DEF%/Healing Bonus,"Energy Recharge, DEF%"
Raiden Shogun,raiden,Main DPS,Engulfing Lightning,Staff of Homa,Kitain Cross Spear,The Catch,Emblem of Severed Fate,Emblem of Severed Fate + Thundering Fury,Emblem of Severed Fate + Gladiators Finale,The Exile,Energy Recharge/ATK%,ATK%/Type DMG Bonus,Crit Rate/DMG,"Crit DMG, Crit Rate, ATK%, Energy Recharge, Elemental Mastery",Sub DPS,Dragons Bane,Kitain Cross Spear,Ballad of the Fjords,Kitain Cross Spear,Flower of Paradise Lost,Gilded Dreams,Gilded Dreams + Wanderers Troupe,Instructor,Elemental Mastery,Elemental Mastery,Elemental Mastery,"Elemental Mastery, Energy Recharge"
Razor,razor,Physical DPS,Song of Broken Pines,Wolfs Gravestone,Serpent Spine,Snow Tombed Starsilver,Pale Flame,Gladiators Finale,Pale Flame + Bloodstained Chivalry,Martial Artist,ATK%,Type DMG Bonus,Crit DMG/Rate,"ATK%, Crit Rate, Crit DMG, Energy Recharge",Quickbloom DPS,Mailed Flower,Makhaira Aquamarine,Rainslasher,Bloodtainted Greatsword,Gilded Dreams,Gladiators Finale,Pale Flame + Bloodstained Chivalry,Martial Artist,Elemental Mastery,Type DMG Bonus,Crit Rate/DMG,"Elemental Mastery, Energy Recharge, Crit Rate, Crit DMG, ATK%"
Sayu,sayu,Non-C6,Wolfs Gravestone,Beacon of the Reed Sea,Tidal Shadow,none,Viridescent Venerer,Gladiators Finale + Viridescent Venerer,Noblesse Oblige,Instructor,Energy Recharge/ATK%,ATK%,ATK%,"ATK%, Energy Recharge, Elemental Mastery",C6,Makhaira Aquamarine,Mailed Flower,Rainslasher,none,Viridescent Venerer,Viridescent Venerer + Gladiators Finale,Noblesse Oblige,Instructor,Energy Recharge/Elemental Mastery,Elemental Mastery/ATK%,Elemental Mastery/ATK%,"ATK%, Energy Recharge, Elemental Mastery"
Sigewinne,sigewinne,Support,Silvershower Heartstrings,Recurve Bow,Aqua Simulacra,Recurve Bow,Songs of Days Past,Ocean Hued Clam,Tenacity of the Millelith + Vourukashas Glow,The Exile,HP%,HP%,HP%/Healing Bonus,"HP%, Energy Recharge",Burst Hybrid,Silvershower Heartstrings,Aqua Simulacra,Recurve Bow,Favonius Warbow,Emblem of Severed Fate,none,none,The Exile,HP%/Energy Recharge,HP%/Type DMG Bonus,Crit Rate/DMG/HP%,"Energy Recharge, HP%. Crit Rate, Crit DMG"
Thoma,thoma,Shielder Support,Favonius Lance,Rightful Reward,Black Tassel,Black Tassel,Tenacity of the Millelith + Emblem of Severed Fate,Noblesse Oblige,Tenacity of the Millelith + Vourukashas Glow,The Exile,HP%/Energy Recharge,HP%,HP%,"Energy Recharge, HP%",Burgeon Sub-DPS,Kitain Cross Spear,Dragons Bane,Moonpiercer,none,Flower of Paradise Lost,Gilded Dreams,Gilded Dreams + Wanderers Troupe,Instructor,Elemental Mastery/Energy Recharge,Elemental Mastery,Elemental Mastery,"Elemental Mastery, Energy Recharge"
Xilonen,xilonen,Geo Shredder Support,Peak Patrol Song,Freedom Sworn,Favonius Sword,Flute of Ezpitzal,Scroll of the Hero of Cinder City,Husk of Opulent Dreams,Husk of Opulent Dreams + Emblem of Severed Fate,Defenders Will,Energy Recharge,DEF%,Healing Bonus/DEF%,"Energy Recharge, DEF%",Geo DPS,Peak Patrol Song,Uraku Misugiri,Cinnabar Spindle,Flute of Ezpitzal,Husk of Opulent Dreams,Scroll of the Hero of Cinder City,none,none,DEF%,Type DMG Bonus,Crit DMG/Rate,"Crit DMG, Crit Rate, DEF%, Energy Recharge"
Zhongli,zhongli,Shield Support,Black Tassel,Rightful Reward,Favonius Lance,Black Tassel,Tenacity of the Millelith,Tenacity of the Millelith + Vourukashas Glow,Noblesse Oblige,The Exile,HP%,HP%,HP%,"HP%, HP, Energy Recharge",Geo Sub-DPS,Staff of Homa,Engulfing Lightning,The Catch,The Catch,Archaic Petra + Noblesse Oblige,Emblem of Severed Fate,Noblesse Oblige,The Exile,ATK%,Type DMG Bonus,Crit Rate/DMG,"ATK%, HP%, Crit Rate, Crit DMG, Energy Recharge"
